,proc_ymd,userid,mcode,media_action_cnt,non_video_viewed_cnt,video_start_cnt,video_restart_cnt,video_pause_cnt,video_jump_cnt,video_resume_cnt,video_speed_cnt,video_volume_cnt,video_end_cnt
540,20230526,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0NE61UDE003,15,8,1,2,0,1,0,0,0,3
541,20230531,1382f041-8f81-49ec-ae87-f5bc95423f0e,T9EE20U03020,6,6,0,0,0,0,0,0,0,0
542,20230502,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0ME61U80001,,,,,,,,,,
543,20230517,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0KE61U06025,34,15,5,2,0,5,0,0,0,7
544,20230509,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0SE61UCI001,,,,,,,,,,
545,20230513,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0ME61U21017,5,0,1,1,0,1,0,0,0,2
546,20230529,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0ME61UAL002,12,5,2,2,0,1,0,0,0,2
547,20230519,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0NE61UDE002,17,7,2,2,0,3,0,0,0,3
548,20230501,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0KE61U34003,,,,,,,,,,
549,20230516,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0ME61U22017,23,0,7,0,0,8,0,0,0,8
550,20230516,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0ME61UAK004,13,5,2,1,0,2,0,0,0,3
551,20230529,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0ME61U23020,32,0,9,0,0,11,0,0,3,9
552,20230522,1382f041-8f81-49ec-ae87-f5bc95423f0e,T9EE20U03013,8,8,0,0,0,0,0,0,0,0
553,20230516,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0ME61U21018,4,0,2,0,0,0,0,0,0,2
554,20230526,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0XE61UAK010,34,10,5,1,0,9,1,0,0,8
555,20230523,1382f041-8f81-49ec-ae87-f5bc95423f0e,T9EE20U03014,6,6,0,0,0,0,0,0,0,0
556,20230509,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0KE61U06003,16,7,2,1,0,3,0,0,0,3
557,20230509,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0ME61UAI011,8,4,1,0,0,2,0,0,0,1
558,20230516,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0TE61U03003,4,4,0,0,0,0,0,0,0,0
559,20230526,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0SE61UCG001,24,15,3,0,0,3,0,0,0,3
560,20230529,1382f041-8f81-49ec-ae87-f5bc95423f0e,T9EE90U33002,,,,,,,,,,
561,20230517,1382f041-8f81-49ec-ae87-f5bc95423f0e,T9EE20U03010,7,7,0,0,0,0,0,0,0,0
562,20230517,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0KE61U07003,25,14,3,1,0,3,0,0,0,4
563,20230509,1382f041-8f81-49ec-ae87-f5bc95423f0e,T9EE20U01026,,,,,,,,,,
