,proc_ymd,userid,mcode,completed_yn,assessment_completed_yn,media_completed_yn,system_learning_time,restart_cnt,playtime_sum,score,item_cnt,quizcode_cnt,correct_cnt,solved_time_sum,solved_time_avg
540,20230526,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0NE61UDE003,Y,Y,Y,119,12,,20,5,5,1,47,9.4
541,20230531,1382f041-8f81-49ec-ae87-f5bc95423f0e,T9EE20U03020,Y,N,Y,354,0,,,,,,,
542,20230502,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0ME61U80001,Y,Y,N,,1,,55,20,20,11,,
543,20230517,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0KE61U06025,Y,Y,Y,57,9,,67,3,3,2,11,3.667
544,20230509,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0SE61UCI001,Y,Y,N,,4,,54,20,20,11,594,29.7
545,20230513,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0ME61U21017,Y,N,Y,252,10,,,,,,,
546,20230529,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0ME61UAL002,Y,Y,Y,678,2,,80,5,5,4,25,5
547,20230519,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0NE61UDE002,Y,Y,Y,188,4,,60,5,5,3,50,10
548,20230501,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0KE61U34003,Y,Y,N,,0,,89,20,20,18,343,17.15
549,20230516,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0ME61U22017,Y,N,Y,254,2,,,,,,,
550,20230516,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0ME61UAK004,Y,Y,Y,291,3,,40,5,5,2,89,17.8
551,20230529,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0ME61U23020,Y,N,Y,323,1,,,,,,,
552,20230522,1382f041-8f81-49ec-ae87-f5bc95423f0e,T9EE20U03013,Y,N,Y,399,2,,,,,,,
553,20230516,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0ME61U21018,N,N,N,44,1,,,,,,,
554,20230526,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0XE61UAK010,Y,N,Y,206,3,,,,,,,
555,20230523,1382f041-8f81-49ec-ae87-f5bc95423f0e,T9EE20U03014,Y,N,Y,503,1,,,,,,,
556,20230509,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0KE61U06003,Y,Y,Y,230,4,,60,5,5,3,73,14.6
557,20230509,1382f041-8f81-49ec-ae87-f5bc95423f0e,T0ME61UAI011,Y,Y,Y,217,1,,0,3,3,0,68,22.667
