,userid,biz_sect_cd_nm,mbr_sex_cd_nm,mbr_step_cd_nm,user_grade_nm,mbr_status_cd_nm,grade_sect_cd,status,re_purch
0,777f81e8-c221-4771-9d77-f053e9252ed8,초등,남,유료학습생,초3학년,사용,G013,10,FALSE
1,91745902-cd00-4e9d-910e-d4f3101adf21,초등,남,유료학습생,초6학년,사용,G016,10,TRUE
2,88efda5e-cd2e-4b7b-8a06-7b0acb67a884,초등,여,유료학습생,초2학년,사용,G012,30,FALSE
3,b1d5bfed-00a5-4f9f-b3e5-d7a07f272850,초등,남,유료학습생,초5학년,사용,G015,10,TRUE
4,2eb9a149-90e1-4ef3-85f7-90553d15d125,초등,남,유료학습생,초4학년,사용,G014,10,FALSE
5,5d5548ca-24d1-4c8f-ab14-91db93551360,초등,여,유료학습생,초6학년,사용,G016,10,TRUE
6,ed8c5a63-c787-48eb-af3e-af720fcf84d5,초등,남,유료학습생,초2학년,사용,G012,10,FALSE
7,0d164297-f34d-4142-8f5a-eb6c3d45744b,초등,남,유료학습생,초1학년,사용,G011,10,FALSE
8,e057d06f-afe5-4fcc-b2c7-ef2391f10ca7,초등,여,유료학습생,초4학년,사용,G014,10,TRUE
9,e2c5fef3-3c62-4738-b552-af014544e7a3,초등,남,유료학습생,초2학년,사용,G012,10,TRUE
10,0b34d1f8-4c47-43dc-a05d-c0dc3bcc336f,초등,여,유료학습생,초4학년,사용,G014,10,TRUE
11,30234740-6f98-467e-9c2b-c7b671c209a6,초등,여,유료학습생,초4학년,사용,G014,10,FALSE
12,bf8c5708-74ba-4d34-aaf4-54f64ab951c0,초등,여,유료학습생,초3학년,사용,G013,30,FALSE
13,21052c2e-65c0-4a99-9b1d-37394a3b2680,초등,남,유료학습생,초2학년,사용,G012,10,FALSE
14,06d15e6f-f007-41be-9f97-a4cea10d3ae1,초등,남,유료학습생,초2학년,사용,G012,10,FALSE
15,9798db05-2e29-4c5c-8c12-69fa78c7240e,초등,남,유료학습생,초5학년,사용,G015,30,TRUE
16,2a339442-7631-4c7b-a4a0-a210cf494b28,초등,남,유료학습생,초1학년,사용,G011,10,FALSE
17,a970a37c-972a-4101-b84c-fb25ce73165f,초등,여,유료학습생,초1학년,사용,G011,10,FALSE
18,bac9d13a-2df2-4d27-94be-2b29c4ddec32,초등,남,유료학습생,초3학년,사용,G013,10,TRUE
19,a19d8c2e-4d03-406b-b47c-51d91184fdb2,초등,여,유료학습생,초2학년,사용,G012,10,TRUE
20,01895383-64af-4222-a70a-d26ab32922d1,초등,남,유료학습생,초4학년,사용,G014,10,TRUE
21,51d89587-c8c4-479d-b8e0-9b57fa66b213,초등,남,유료학습생,초2학년,사용,G012,10,FALSE
22,413374e9-d4ee-4faf-8317-968f00d097ed,초등,남,유료학습생,초2학년,사용,G012,10,TRUE
23,0bb0eb4b-ba57-4833-8523-ad11fd9dfb28,초등,남,유료학습생,초3학년,사용,G013,10,FALSE
24,0bd59bfd-53aa-4b73-bcdf-07e718521cc9,초등,여,유료학습생,초6학년,사용,G016,10,TRUE
25,856ddd86-11bb-43d4-aa1b-6cad125723a1,초등,남,유료학습생,초1학년,사용,G011,10,FALSE
26,d52a13d8-a86b-4707-a87f-1ada221762da,초등,남,유료학습생,초5학년,사용,G015,10,TRUE
27,e6003316-e978-4d91-a1c9-f6506f87baee,초등,남,유료학습생,초2학년,사용,G012,10,FALSE
28,0a19071f-36ef-4d14-88df-11edc958384f,초등,정보없음,유료학습생,초3학년,사용,G013,10,FALSE
29,900a1b68-7992-405c-9c02-1dfbc60ffea8,초등,남,유료학습생,초5학년,사용,G015,10,TRUE
30,b52f1187-5681-4359-8033-0adea3ac7316,초등,여,유료학습생,초3학년,사용,G013,10,TRUE
31,f2b0b917-b4fd-43a3-9126-3060f795f094,초등,남,유료학습생,초6학년,사용,G016,10,TRUE
32,6eca98c7-753e-466d-9c85-58eeb8ef2061,초등,남,유료학습생,초2학년,사용,G012,10,FALSE
33,4aae825b-bd0f-4cbe-a688-d8fcad1fd937,초등,여,유료학습생,초4학년,사용,G014,10,FALSE
34,e252d8a2-f52f-49a9-91bf-38d1f5f61891,초등,남,유료학습생,초6학년,사용,G016,10,TRUE
35,7c694253-790f-4bc1-85ef-218f93783a50,초등,남,유료학습생,초3학년,사용,G013,10,FALSE
36,4c40a460-7018-467e-a401-9706055de1f0,초등,남,유료학습생,초6학년,사용,G016,10,TRUE
37,fedb6745-960e-4b09-b8fc-c0965382360b,초등,남,유료학습생,초6학년,사용,G016,10,FALSE
38,634f71db-ac43-4750-85b0-f1597d97f044,초등,여,유료학습생,초4학년,사용,G014,10,TRUE
39,5a827a3c-6038-4496-a42a-8f838be3679e,초등,여,유료학습생,초2학년,사용,G012,10,FALSE
40,305ccc80-82af-4636-9840-9e76c8f4d58c,초등,남,유료학습생,초3학년,사용,G013,10,TRUE
41,c8627fc8-8242-4bb0-809f-427037d0be89,초등,여,유료학습생,초3학년,사용,G013,10,FALSE
42,8efef2dd-e848-4b49-b17c-fa00bfa3d5d1,초등,여,유료학습생,초6학년,사용,G016,10,TRUE
43,a388578f-090f-4bcb-84ee-b8db9172bac1,초등,남,유료학습생,초5학년,사용,G015,10,TRUE
44,9aedf30c-dbcd-4c68-9a1e-5be7e8db94ca,초등,여,유료학습생,초5학년,사용,G015,10,TRUE
